@relation mushroom_full
@attribute cap-shape {bell,conical,convex,flat,knobbed,sunken}
@attribute cap-surface {fibrous,grooves,scaly,smooth}
@attribute cap-color {brown,buff,cinnamon,gray,green,pink,purple,red,white,yellow}
@attribute bruises {true,false}
@attribute odor {almond,anise,creosote,fishy,foul,musty,none,pungent,spicy}
@attribute gill-attachment {attached,free,descending,free}
@attribute gill-spacing {close,crowded,distant}
@attribute gill-size {broad,narrow}
@attribute gill-color {black,brown,buff,chocolate,gray,green,orange,pink,purple,red,white,yellow}
@attribute stalk-shape {enlarging,tapering}
@attribute stalk-root {bulbous,club,cup,equal,rhizomorphs,rooted}
@attribute stalk-surface-above-ring {fibrous,scaly,silky,smooth}
@attribute stalk-surface-below-ring {fibrous,scaly,silky,smooth}
@attribute stalk-color-above-ring {brown,buff,cinnamon,gray,orange,pink,red,white,yellow}
@attribute stalk-color-below-ring {brown,buff,cinnamon,gray,orange,pink,red,white,yellow}
@attribute veil-type {partial,universal}
@attribute veil-color {brown,orange,white,yellow}
@attribute ring-number {none,one,two}
@attribute ring-type {cobwebby,evanescent,flaring,large,none,pendant,sheathing,zone}
@attribute spore-print-color {black,brown,buff,chocolate,green,orange,purple,white,yellow}
@attribute population {abundant,clustered,numerous,scattered,several,solitary}
@attribute habitat {grasses,leaves,meadows,paths,urban,waste,woods}
@attribute class {edible,poisonous}

@data
knobbed,scaly,purple,false,foul,descending,crowded,narrow,gray,tapering,cup,scaly,fibrous,gray,pink,partial,orange,none,large,orange,solitary,paths,poisonous
bell,grooves,green,false,foul,free,crowded,broad,gray,enlarging,rooted,scaly,silky,brown,brown,universal,orange,two,zone,yellow,abundant,woods,poisonous
flat,smooth,pink,false,almond,free,close,narrow,pink,enlarging,bulbous,smooth,smooth,buff,brown,partial,orange,two,none,green,abundant,leaves,poisonous
knobbed,grooves,white,false,anise,free,crowded,narrow,gray,tapering,cup,fibrous,fibrous,gray,gray,universal,brown,none,large,yellow,clustered,urban,edible
flat,smooth,yellow,true,anise,free,crowded,broad,chocolate,tapering,rooted,silky,smooth,buff,gray,universal,orange,one,evanescent,buff,several,leaves,edible
bell,fibrous,cinnamon,true,creosote,descending,distant,narrow,pink,enlarging,equal,silky,smooth,orange,yellow,universal,yellow,none,cobwebby,green,scattered,waste,poisonous
bell,grooves,yellow,true,musty,attached,distant,narrow,red,enlarging,club,smooth,smooth,orange,cinnamon,universal,yellow,none,zone,green,numerous,paths,poisonous
conical,scaly,purple,true,musty,free,crowded,narrow,purple,enlarging,equal,fibrous,silky,orange,pink,partial,yellow,two,cobwebby,orange,solitary,woods,poisonous
bell,grooves,white,false,spicy,descending,distant,narrow,white,tapering,bulbous,scaly,silky,yellow,cinnamon,universal,yellow,two,zone,white,abundant,grasses,poisonous
knobbed,fibrous,white,false,fishy,free,close,broad,brown,tapering,bulbous,scaly,smooth,orange,yellow,universal,yellow,one,zone,buff,clustered,paths,poisonous
conical,grooves,buff,false,spicy,descending,crowded,narrow,purple,tapering,bulbous,silky,silky,white,cinnamon,universal,yellow,one,pendant,buff,several,woods,poisonous
convex,grooves,gray,false,spicy,free,close,narrow,black,tapering,rooted,smooth,smooth,red,cinnamon,universal,brown,none,pendant,purple,abundant,woods,poisonous
bell,grooves,purple,false,pungent,free,close,narrow,gray,tapering,rhizomorphs,smooth,fibrous,pink,yellow,universal,white,two,zone,brown,several,grasses,poisonous
conical,fibrous,purple,false,anise,attached,distant,broad,pink,enlarging,rooted,silky,fibrous,brown,pink,partial,white,one,pendant,chocolate,scattered,leaves,edible
knobbed,grooves,cinnamon,false,fishy,free,close,narrow,red,enlarging,equal,scaly,scaly,white,orange,universal,white,two,cobwebby,yellow,scattered,meadows,poisonous
flat,scaly,yellow,true,spicy,descending,distant,narrow,yellow,tapering,equal,silky,scaly,red,white,partial,orange,one,pendant,buff,several,meadows,poisonous
convex,fibrous,yellow,false,foul,attached,distant,narrow,gray,enlarging,rhizomorphs,silky,scaly,gray,orange,partial,brown,two,cobwebby,black,numerous,woods,poisonous
sunken,grooves,buff,false,pungent,descending,crowded,narrow,buff,enlarging,club,silky,silky,cinnamon,orange,universal,white,two,pendant,black,abundant,paths,poisonous
sunken,smooth,white,true,anise,descending,close,narrow,black,tapering,rhizomorphs,fibrous,smooth,pink,orange,universal,white,none,large,buff,scattered,grasses,edible
sunken,fibrous,red,true,spicy,descending,distant,narrow,brown,enlarging,bulbous,fibrous,silky,white,buff,partial,orange,two,flaring,orange,scattered,paths,poisonous
knobbed,grooves,purple,false,musty,attached,crowded,narrow,gray,enlarging,rooted,silky,scaly,white,white,partial,white,none,pendant,yellow,several,waste,poisonous
convex,grooves,buff,false,musty,free,close,broad,white,enlarging,bulbous,silky,scaly,cinnamon,gray,partial,orange,two,large,black,clustered,meadows,poisonous
conical,grooves,white,false,creosote,descending,close,broad,white,enlarging,club,fibrous,silky,gray,pink,partial,orange,one,cobwebby,black,clustered,waste,poisonous
sunken,fibrous,red,true,none,free,crowded,broad,pink,enlarging,rhizomorphs,fibrous,silky,white,brown,partial,yellow,one,sheathing,yellow,solitary,grasses,edible
bell,scaly,yellow,true,pungent,free,close,broad,gray,tapering,equal,silky,smooth,yellow,red,partial,brown,two,large,white,scattered,paths,poisonous
flat,smooth,purple,false,fishy,attached,crowded,narrow,green,tapering,cup,scaly,smooth,buff,buff,partial,brown,one,evanescent,purple,solitary,waste,poisonous
knobbed,scaly,buff,true,musty,free,crowded,narrow,yellow,enlarging,cup,silky,silky,buff,yellow,partial,orange,two,zone,buff,clustered,woods,poisonous
bell,scaly,yellow,false,anise,free,crowded,broad,red,tapering,bulbous,scaly,silky,orange,pink,universal,brown,none,flaring,orange,several,waste,edible
sunken,fibrous,buff,true,none,free,crowded,narrow,pink,tapering,club,silky,silky,pink,buff,partial,orange,none,cobwebby,brown,solitary,grasses,edible
flat,smooth,purple,false,foul,descending,close,broad,green,tapering,bulbous,silky,smooth,yellow,orange,partial,orange,one,cobwebby,white,abundant,leaves,poisonous
convex,scaly,pink,true,foul,attached,close,narrow,yellow,tapering,club,scaly,smooth,yellow,gray,universal,brown,one,cobwebby,chocolate,scattered,grasses,poisonous
knobbed,smooth,yellow,false,pungent,free,distant,narrow,gray,enlarging,equal,fibrous,silky,cinnamon,white,universal,brown,one,evanescent,brown,clustered,paths,poisonous
flat,scaly,pink,true,none,free,crowded,broad,brown,enlarging,rhizomorphs,scaly,silky,pink,cinnamon,partial,brown,none,none,yellow,clustered,leaves,edible
sunken,smooth,red,true,creosote,free,distant,narrow,white,tapering,club,smooth,fibrous,white,white,universal,white,two,cobwebby,brown,numerous,urban,poisonous
flat,fibrous,brown,false,anise,descending,crowded,broad,white,enlarging,rhizomorphs,smooth,smooth,yellow,brown,universal,orange,one,zone,green,several,leaves,poisonous
convex,fibrous,white,true,almond,free,close,broad,yellow,tapering,equal,scaly,silky,pink,orange,universal,yellow,one,cobwebby,white,solitary,waste,edible
bell,smooth,green,false,musty,descending,distant,broad,green,enlarging,rhizomorphs,scaly,silky,orange,red,partial,brown,one,sheathing,brown,solitary,woods,poisonous
sunken,smooth,white,true,musty,descending,close,narrow,gray,enlarging,club,silky,smooth,gray,gray,partial,orange,none,none,buff,abundant,urban,poisonous
sunken,scaly,yellow,true,spicy,free,distant,narrow,buff,enlarging,club,scaly,smooth,brown,red,universal,orange,one,none,yellow,solitary,woods,poisonous
convex,smooth,gray,true,pungent,descending,distant,narrow,pink,tapering,equal,smooth,scaly,gray,cinnamon,universal,brown,two,zone,chocolate,numerous,urban,poisonous
convex,fibrous,cinnamon,true,anise,descending,crowded,broad,orange,enlarging,club,smooth,silky,brown,red,partial,yellow,two,pendant,yellow,clustered,paths,edible
bell,scaly,buff,true,anise,descending,close,broad,black,tapering,equal,scaly,smooth,white,brown,partial,brown,one,large,orange,clustered,urban,edible
convex,grooves,green,true,spicy,attached,close,broad,orange,tapering,bulbous,fibrous,smooth,yellow,brown,partial,orange,one,sheathing,purple,abundant,urban,poisonous
conical,fibrous,white,false,musty,descending,close,broad,orange,tapering,bulbous,smooth,silky,orange,brown,universal,brown,one,large,chocolate,solitary,waste,poisonous
bell,scaly,white,true,anise,descending,distant,broad,white,tapering,rooted,smooth,scaly,cinnamon,buff,universal,brown,one,large,orange,abundant,woods,edible
convex,smooth,white,false,fishy,free,crowded,broad,white,enlarging,cup,silky,fibrous,pink,orange,partial,white,one,sheathing,black,solitary,paths,poisonous
flat,smooth,pink,true,none,descending,close,narrow,brown,tapering,rhizomorphs,scaly,silky,pink,buff,partial,white,two,none,orange,numerous,paths,edible
flat,fibrous,pink,false,none,free,crowded,broad,brown,tapering,cup,scaly,fibrous,cinnamon,white,partial,orange,none,large,buff,solitary,meadows,poisonous
knobbed,grooves,red,true,musty,descending,crowded,narrow,brown,enlarging,rhizomorphs,silky,smooth,pink,orange,partial,brown,none,flaring,purple,scattered,urban,poisonous
convex,scaly,red,true,none,free,distant,narrow,yellow,tapering,club,fibrous,scaly,buff,white,partial,yellow,none,pendant,yellow,solitary,meadows,edible
convex,grooves,cinnamon,false,anise,descending,distant,broad,brown,enlarging,club,scaly,smooth,brown,pink,universal,yellow,two,flaring,yellow,several,grasses,edible
sunken,smooth,white,false,anise,free,crowded,broad,buff,tapering,rooted,fibrous,smooth,white,yellow,universal,orange,two,flaring,green,clustered,paths,poisonous
knobbed,grooves,green,true,spicy,free,close,narrow,yellow,enlarging,cup,silky,fibrous,orange,gray,universal,orange,two,none,black,several,urban,poisonous
knobbed,grooves,cinnamon,true,anise,descending,distant,broad,black,enlarging,bulbous,silky,scaly,red,brown,universal,white,two,none,yellow,scattered,leaves,edible
bell,fibrous,cinnamon,false,none,free,crowded,narrow,pink,enlarging,cup,scaly,silky,pink,pink,universal,orange,one,evanescent,green,numerous,leaves,poisonous
flat,grooves,cinnamon,false,pungent,attached,close,narrow,orange,tapering,club,scaly,silky,pink,gray,partial,yellow,two,zone,brown,scattered,meadows,poisonous
flat,smooth,gray,true,pungent,free,distant,narrow,black,enlarging,cup,smooth,smooth,orange,yellow,partial,brown,one,flaring,black,numerous,waste,poisonous
bell,smooth,brown,false,musty,free,crowded,narrow,brown,tapering,rhizomorphs,smooth,silky,buff,cinnamon,partial,yellow,one,pendant,purple,several,meadows,poisonous
knobbed,fibrous,brown,false,creosote,attached,close,narrow,pink,tapering,club,scaly,silky,pink,cinnamon,universal,white,two,pendant,chocolate,several,woods,poisonous
sunken,scaly,red,false,spicy,attached,crowded,narrow,white,enlarging,equal,silky,fibrous,white,orange,partial,brown,two,zone,yellow,clustered,urban,poisonous
bell,fibrous,gray,true,none,attached,crowded,narrow,orange,enlarging,equal,scaly,smooth,yellow,white,partial,orange,two,large,buff,several,meadows,edible
convex,grooves,red,false,pungent,descending,distant,narrow,white,tapering,rhizomorphs,smooth,scaly,gray,orange,universal,orange,one,none,yellow,solitary,leaves,poisonous
convex,scaly,green,false,pungent,attached,distant,narrow,orange,tapering,club,silky,fibrous,orange,buff,universal,yellow,two,none,orange,solitary,paths,poisonous
knobbed,scaly,cinnamon,false,fishy,attached,distant,broad,chocolate,enlarging,rooted,scaly,scaly,brown,buff,universal,white,two,zone,chocolate,abundant,waste,poisonous
flat,smooth,red,true,creosote,free,crowded,narrow,gray,enlarging,bulbous,scaly,fibrous,cinnamon,red,partial,brown,one,zone,black,clustered,waste,poisonous
convex,fibrous,pink,true,foul,descending,crowded,narrow,buff,tapering,cup,scaly,fibrous,pink,cinnamon,universal,white,two,flaring,black,abundant,waste,poisonous
conical,smooth,purple,true,musty,descending,close,narrow,white,enlarging,club,scaly,smooth,pink,gray,partial,white,one,large,green,scattered,woods,poisonous
knobbed,fibrous,green,false,foul,descending,distant,broad,black,enlarging,equal,silky,scaly,red,yellow,universal,brown,two,none,orange,numerous,urban,poisonous
flat,grooves,red,true,fishy,descending,crowded,narrow,purple,enlarging,club,fibrous,smooth,yellow,pink,partial,brown,none,large,chocolate,several,urban,poisonous
knobbed,smooth,buff,false,creosote,free,distant,narrow,brown,tapering,bulbous,smooth,scaly,yellow,red,universal,brown,two,zone,buff,solitary,woods,poisonous
convex,fibrous,gray,false,foul,attached,close,narrow,green,enlarging,rhizomorphs,fibrous,fibrous,white,brown,universal,yellow,none,flaring,black,solitary,waste,poisonous
flat,smooth,buff,false,none,free,distant,narrow,brown,enlarging,rhizomorphs,smooth,scaly,gray,brown,partial,white,one,sheathing,orange,several,paths,poisonous
convex,grooves,green,false,fishy,free,distant,broad,black,tapering,rhizomorphs,fibrous,scaly,gray,buff,partial,brown,one,cobwebby,chocolate,clustered,waste,poisonous
conical,grooves,brown,false,almond,free,distant,narrow,chocolate,tapering,rhizomorphs,silky,scaly,orange,cinnamon,partial,yellow,one,none,purple,abundant,urban,edible
bell,scaly,purple,false,creosote,descending,distant,narrow,orange,enlarging,cup,smooth,scaly,yellow,white,partial,orange,one,flaring,purple,scattered,grasses,poisonous
knobbed,grooves,purple,false,spicy,free,crowded,broad,green,enlarging,equal,silky,fibrous,yellow,gray,partial,white,one,cobwebby,purple,abundant,leaves,poisonous
conical,scaly,green,false,spicy,attached,close,broad,yellow,enlarging,rooted,smooth,scaly,gray,red,partial,white,one,sheathing,chocolate,scattered,urban,poisonous
convex,smooth,red,false,musty,attached,distant,narrow,green,enlarging,cup,silky,smooth,brown,gray,partial,brown,one,sheathing,green,numerous,leaves,poisonous
flat,grooves,red,true,fishy,descending,crowded,narrow,yellow,tapering,equal,scaly,silky,cinnamon,cinnamon,universal,orange,two,cobwebby,orange,several,grasses,poisonous
flat,grooves,gray,true,anise,attached,distant,broad,black,enlarging,rhizomorphs,smooth,silky,brown,white,universal,brown,none,sheathing,black,abundant,grasses,edible
bell,smooth,cinnamon,false,spicy,attached,close,broad,chocolate,enlarging,rhizomorphs,silky,silky,orange,red,partial,white,one,zone,green,several,leaves,poisonous
sunken,fibrous,buff,true,fishy,free,crowded,narrow,purple,tapering,bulbous,fibrous,scaly,buff,white,universal,white,two,evanescent,green,several,grasses,poisonous
convex,fibrous,buff,false,fishy,descending,distant,broad,buff,tapering,bulbous,scaly,scaly,red,buff,universal,orange,two,large,chocolate,several,woods,poisonous
sunken,grooves,buff,false,none,descending,close,broad,orange,enlarging,bulbous,silky,smooth,pink,brown,universal,yellow,one,large,yellow,numerous,urban,poisonous
sunken,smooth,buff,true,none,descending,close,broad,brown,tapering,club,smooth,scaly,red,pink,universal,brown,none,cobwebby,purple,numerous,paths,edible
conical,fibrous,cinnamon,true,musty,free,crowded,narrow,brown,enlarging,bulbous,silky,fibrous,pink,red,partial,white,one,sheathing,green,abundant,waste,poisonous
sunken,smooth,cinnamon,true,spicy,free,crowded,narrow,gray,tapering,club,fibrous,scaly,red,orange,universal,white,one,evanescent,chocolate,numerous,meadows,poisonous
flat,fibrous,cinnamon,true,fishy,descending,close,narrow,green,tapering,cup,smooth,silky,red,cinnamon,universal,white,two,large,white,scattered,meadows,poisonous
convex,smooth,yellow,false,creosote,free,crowded,narrow,gray,tapering,cup,fibrous,scaly,yellow,cinnamon,partial,yellow,two,large,purple,scattered,woods,poisonous
sunken,smooth,cinnamon,false,foul,descending,close,narrow,white,enlarging,rooted,smooth,smooth,buff,white,universal,yellow,two,sheathing,brown,several,grasses,poisonous
bell,grooves,pink,true,musty,free,distant,broad,red,tapering,cup,smooth,fibrous,brown,buff,universal,orange,two,large,yellow,scattered,meadows,poisonous
convex,fibrous,red,true,none,attached,crowded,narrow,brown,enlarging,rooted,scaly,silky,orange,pink,universal,orange,two,zone,white,numerous,paths,edible
convex,fibrous,green,false,anise,attached,distant,broad,black,tapering,rooted,fibrous,scaly,gray,yellow,partial,orange,one,sheathing,white,scattered,leaves,edible
sunken,smooth,purple,true,none,attached,distant,broad,pink,tapering,equal,fibrous,scaly,gray,orange,partial,brown,two,flaring,buff,numerous,meadows,edible
convex,smooth,white,true,fishy,descending,distant,narrow,red,tapering,rhizomorphs,fibrous,silky,pink,white,partial,white,two,evanescent,white,solitary,leaves,poisonous
convex,fibrous,cinnamon,true,musty,descending,distant,broad,purple,tapering,equal,scaly,smooth,red,cinnamon,universal,orange,two,flaring,brown,scattered,meadows,poisonous
flat,fibrous,pink,false,creosote,attached,crowded,broad,chocolate,tapering,rhizomorphs,smooth,smooth,white,red,universal,yellow,none,evanescent,buff,several,grasses,poisonous
convex,grooves,white,true,fishy,descending,close,narrow,red,tapering,rhizomorphs,fibrous,fibrous,orange,yellow,universal,brown,two,zone,green,several,leaves,poisonous
convex,fibrous,red,true,none,descending,crowded,broad,pink,enlarging,club,scaly,silky,red,cinnamon,partial,orange,none,cobwebby,brown,several,meadows,edible
convex,scaly,green,true,spicy,descending,distant,broad,buff,tapering,bulbous,silky,scaly,cinnamon,gray,partial,white,none,sheathing,green,scattered,leaves,poisonous
flat,fibrous,buff,false,foul,free,distant,narrow,yellow,tapering,equal,smooth,silky,brown,buff,universal,white,none,sheathing,purple,clustered,paths,poisonous
convex,scaly,pink,false,fishy,free,distant,narrow,green,enlarging,bulbous,fibrous,smooth,brown,buff,partial,yellow,one,cobwebby,white,scattered,leaves,poisonous
convex,fibrous,pink,true,creosote,descending,close,narrow,white,enlarging,bulbous,smooth,silky,gray,red,partial,brown,none,large,green,scattered,grasses,poisonous
bell,fibrous,pink,false,creosote,attached,crowded,broad,pink,enlarging,club,smooth,fibrous,buff,buff,universal,white,one,flaring,chocolate,scattered,woods,poisonous
knobbed,fibrous,yellow,true,creosote,free,crowded,narrow,yellow,enlarging,rooted,scaly,smooth,white,gray,partial,brown,none,evanescent,buff,several,waste,poisonous
conical,grooves,green,false,none,attached,close,narrow,yellow,enlarging,rooted,silky,scaly,yellow,yellow,partial,yellow,one,cobwebby,orange,clustered,paths,poisonous
flat,fibrous,white,true,none,attached,crowded,narrow,buff,tapering,rhizomorphs,smooth,silky,yellow,cinnamon,universal,brown,none,evanescent,brown,abundant,meadows,edible
flat,scaly,white,true,fishy,free,crowded,narrow,brown,enlarging,cup,fibrous,silky,buff,yellow,partial,orange,two,pendant,black,scattered,urban,poisonous
sunken,grooves,brown,false,anise,free,close,narrow,brown,tapering,rhizomorphs,fibrous,silky,cinnamon,buff,partial,orange,two,cobwebby,green,clustered,paths,poisonous
conical,scaly,cinnamon,false,musty,descending,distant,broad,black,tapering,equal,silky,fibrous,orange,buff,universal,yellow,two,pendant,yellow,abundant,paths,poisonous
convex,fibrous,yellow,true,creosote,attached,close,broad,black,enlarging,club,fibrous,smooth,pink,red,partial,orange,none,sheathing,orange,clustered,meadows,poisonous
convex,fibrous,yellow,false,fishy,descending,close,broad,buff,enlarging,rhizomorphs,fibrous,smooth,buff,white,universal,white,one,evanescent,purple,several,paths,poisonous
convex,scaly,yellow,true,almond,free,crowded,narrow,red,tapering,club,scaly,scaly,brown,red,partial,orange,two,pendant,orange,solitary,woods,edible
sunken,smooth,green,true,almond,attached,close,broad,orange,tapering,bulbous,scaly,silky,buff,brown,partial,yellow,two,pendant,orange,scattered,waste,edible
sunken,smooth,buff,true,anise,attached,crowded,broad,chocolate,tapering,cup,silky,smooth,pink,pink,universal,white,none,evanescent,brown,clustered,leaves,edible
conical,smooth,red,true,anise,descending,crowded,broad,purple,tapering,club,smooth,silky,white,orange,partial,brown,none,none,buff,solitary,waste,edible
conical,fibrous,gray,false,almond,descending,crowded,broad,white,tapering,cup,scaly,fibrous,red,white,partial,brown,one,evanescent,chocolate,clustered,grasses,edible
conical,grooves,purple,true,almond,descending,distant,broad,red,tapering,bulbous,fibrous,fibrous,gray,white,partial,brown,one,evanescent,black,abundant,paths,edible
sunken,smooth,red,false,almond,attached,crowded,narrow,buff,tapering,club,scaly,silky,orange,white,partial,brown,two,large,buff,solitary,meadows,edible
bell,fibrous,green,false,pungent,free,close,narrow,chocolate,enlarging,rooted,fibrous,smooth,pink,white,universal,white,two,pendant,purple,scattered,meadows,poisonous
knobbed,grooves,brown,false,creosote,descending,close,narrow,purple,tapering,rhizomorphs,scaly,scaly,buff,gray,partial,white,two,cobwebby,black,clustered,urban,poisonous
conical,grooves,yellow,true,none,descending,distant,narrow,red,enlarging,rooted,silky,scaly,gray,white,universal,orange,one,cobwebby,orange,abundant,grasses,edible
knobbed,smooth,brown,true,fishy,descending,distant,broad,buff,tapering,rooted,scaly,silky,brown,brown,partial,orange,none,pendant,chocolate,abundant,meadows,poisonous
convex,grooves,cinnamon,false,none,free,distant,narrow,white,tapering,club,silky,scaly,cinnamon,red,universal,white,none,flaring,brown,solitary,grasses,poisonous
knobbed,scaly,yellow,true,none,free,distant,broad,pink,enlarging,cup,fibrous,scaly,pink,pink,partial,brown,two,pendant,black,scattered,grasses,edible
sunken,fibrous,pink,true,foul,descending,close,broad,black,tapering,equal,smooth,scaly,red,white,universal,white,two,sheathing,chocolate,abundant,woods,poisonous
flat,fibrous,brown,true,pungent,descending,close,narrow,gray,enlarging,bulbous,silky,scaly,red,cinnamon,partial,brown,one,zone,chocolate,solitary,grasses,poisonous
bell,fibrous,pink,false,none,free,close,narrow,yellow,tapering,rooted,silky,silky,gray,buff,partial,yellow,two,zone,buff,clustered,grasses,edible
bell,scaly,yellow,false,musty,free,close,broad,black,enlarging,club,silky,fibrous,white,buff,universal,yellow,one,zone,black,solitary,meadows,poisonous
conical,scaly,purple,false,anise,descending,close,narrow,black,tapering,equal,smooth,silky,gray,orange,partial,orange,two,evanescent,yellow,abundant,waste,edible
